user;date;text;location;retweeter_usr
LorettaBower3;Thu Feb 10 20:20:46 +0000 2022;"RT @BuzzFeedNews: Russia, Belarus, and Ukraine have all begun 10 days of military drills, raising concerns that war is near. 
https://t.co/…";Lake Havasu City, Az. 86406;KatyaYushchenko
gaurd64;Thu Feb 10 20:20:33 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Bexhill, England;KatyaYushchenko
winterjunipr;Thu Feb 10 20:20:22 +0000 2022;RT @juliaioffe: Why Russia could easily keep these troop levels on the border with Ukraine and why Western sanctions actually embolden Puti…;Seattle, WA;KatyaYushchenko
PamelaFitzNWC;Thu Feb 10 20:20:20 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Harrow;KatyaYushchenko
hrrwadie;Thu Feb 10 20:20:03 +0000 2022;RT @julian0liver: A bit tense. Putin puts thermonuclear war on the table, talking up his nukes. Says if Ukraine becomes part of NATO and tr…;Bayern;KatyaYushchenko
eclectelectric;Thu Feb 10 20:20:01 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;here & now  🇺🇸;KatyaYushchenko
minoregan;Thu Feb 10 20:19:38 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Belfast, Northern Ireland;KatyaYushchenko
bkeithb;Thu Feb 10 20:19:29 +0000 2022;"RT @BTnewsroom: ""The idea that NATO would put advanced missiles in Ukraine - Ukrainians know that doesn't make them safer. That means if a…";κοσμόπολις Cosmopolis;KatyaYushchenko
Dudeabuck;Thu Feb 10 20:18:58 +0000 2022;"RT @BTnewsroom: ""The idea that NATO would put advanced missiles in Ukraine - Ukrainians know that doesn't make them safer. That means if a…";Wilson North Carolina USA.;KatyaYushchenko
ibalamuhammad;Thu Feb 10 20:18:46 +0000 2022;RT @olgatokariuk: A heartbreaking long read from the BBC on the hidden costs of Russia's war against Ukraine. Thank you @PaulNiland for you…;Nigeria;KatyaYushchenko
vtimasheff;Thu Feb 10 20:18:35 +0000 2022;"RT @andrew_danieri: Important #UkraineAlert piece by @Biz_Ukraine_Mag on Russia’s hybrid war against Ukraine in the Black Sea. 

The Russia…";Deutschland;KatyaYushchenko
jo_kruger;Thu Feb 10 20:18:33 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Kyiv, Ukraine;KatyaYushchenko
_ajit8;Thu Feb 10 20:18:23 +0000 2022;"RT @BTnewsroom: ""The idea that NATO would put advanced missiles in Ukraine - Ukrainians know that doesn't make them safer. That means if a…";USS Britain ;KatyaYushchenko
qwerty4life;Thu Feb 10 20:18:21 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;The Hub of the Universe/Boston;KatyaYushchenko
ajit8_;Thu Feb 10 20:18:16 +0000 2022;"RT @BTnewsroom: ""The idea that NATO would put advanced missiles in Ukraine - Ukrainians know that doesn't make them safer. That means if a…";USS Britain;KatyaYushchenko
_ajit8_;Thu Feb 10 20:18:11 +0000 2022;"RT @BTnewsroom: ""The idea that NATO would put advanced missiles in Ukraine - Ukrainians know that doesn't make them safer. That means if a…";Wessex;KatyaYushchenko
nd_news;Thu Feb 10 20:18:10 +0000 2022;RT @felhaborito: .@KrocInstitute's George A. Lopez was featured on @democracynow talking abt using #sanctions against #Russia as a deterren…;Notre Dame, IN;KatyaYushchenko
AlexAnd52368255;Thu Feb 10 20:18:01 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;The Moonlight Motel ;KatyaYushchenko
JackConway96;Thu Feb 10 20:17:56 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Anywhere but here;KatyaYushchenko
stemmler448;Thu Feb 10 20:17:51 +0000 2022;"RT @Catholic4Choice: No more war.

Praying for peace in Ukraine and Russia, and all around the world. 🙏🙏🙏";Windsor/Detroit;KatyaYushchenko
